Number,Anglicized name,Arabic name,English Translation,#English Translation
1,al-Fatihah,al-faatiHah,The Opening,#The Opening
2,al-Baqarah,al-baqarah,The Cow,#The Cow
3,Al-Imran,aali-`imraan,The Family Of Imran,#The Family Of Imran
4,an-Nisa',an-nisaa',Women,#Women
5,al-Ma'idah,al-maa'idah,The Food,#The Food
6,al-An`am,al-an`aam,The Cattle,#The Cattle
7,al-A`raf,al-a`raaf,The Elevated Places,#The Elevated Places
8,al-Anfal,al-anfaal,The Spoils Of War,#The Spoils Of War
9,at-Taubah,at-tawbah,Repentance,#Repentance
10,Yunus,yoonus,Jonah,#Jonah
11,Hud,hood,Hud,#Hud
12,Yusuf,yoosuf,Joseph,#Joseph
13,ar-Ra`d,ar-Ra`d,The Thunder,#The Thunder
14,Ibrahim,ibraheem,Abraham,#Abraham
15,al-Hijr,al-Hijr,The Rock,#The Rock
16,an-Nahl,an-naHl,The Bee,#The Bee
17,Al-Isra,al-Isra',The Night Journey,#The Night Journey
18,al-Kahf,al-kahf,The Cave,#The Cave
19,Maryam,maryam,Mary,#Mary
20,Ta Ha,Taa haa,Ta Ha,#Ta Ha
21,al-Anbiya',al-anbiyaa',The Prophets,#The Prophets
22,al-Hajj,al-Hajj,The Pilgrimage,#The Pilgrimage
23,al-Mu'minun,al-mu'minoon,The Believers,#The Believers
24,an-Nur,an-noor,The Light,#The Light
25,al-Furqan,al-furqaan,The Criterion,#The Criterion
26,ash-Shu`ara',ash-shu`araa',The Poets,#The Poets
27,an-Naml,an-naml,The Ant,#The Ant
28,al-Qasas,al-qasas,The Narrative,#The Narrative
29,al-`Ankabut,al-`ankaboot,The Spider,#The Spider
30,ar-Rum,ar-room,The Romans,#The Romans
31,Luqman,luqmaan,Lukman,#Lukman
32,as-Sajdah,as-sajdah,The Adoration,#The Adoration
33,al-Ahzab,al-aHzab,The Allies,#The Allies
34,Saba',as-Saba',Sheba,#Sheba
35,Fatir,faaTir,The Creator,#The Creator
36,Ya Sin,yaa seen,Ya Sin,#Ya Sin
37,as-Saffat,aS-Saaffaat,The Rangers,#The Rangers
38,Sad,Saad,Sad,#Sad
39,az-Zumar,az-zumar,The Companies,#The Companies
40,Ghafir,Ghafir,The Forgiving One,#The Forgiving One
41,Fussilat,Fussilat,Revelations Well Expounded,#Revelations Well Expounded
42,ash-Shura,ash-shooraa,The Counsel,#The Counsel
43,az-Zukhruf,azl-zukhruf,The Embellishment,#The Embellishment
44,ad-Dukhan,ad-dukhaan,The Evident Smoke,#The Evident Smoke
45,al-Jathiyah,al-jaathiyah,The Kneeling,#The Kneeling
46,al-Ahqaf,al-aHqaaf,The Sandhills,#The Sandhills
47,Muhammad,muHammad,Muhammad,#Muhammad
48,al-Fath,al-fatH,The Victory,#The Victory
49,al-Hujurat,al-Hujuraat,The Chambers,#The Chambers
50,Qaf,qaaf,Qaf,#Qaf
51,ad-Dhariyat,ad-dhaariyaat,The Scatterers,#The Scatterers
52,at-Tur,aT-Toor,The Mountain,#The Mountain
53,an-Najm,an-najm,The Star,#The Star
54,al-Qamar,al-qamar,The Moon,#The Moon
55,ar-Rahman,ar-raHmaan,The Merciful,#The Merciful
56,al-Waqi`ah,al-waaqi`ah,That Which is Coming,#That Which is Coming
57,al-Hadid,al-Hadeed,The Iron,#The Iron
58,al-Mujadilah,al-mujaadilah,She Who Pleaded,#She Who Pleaded
59,al-Hashr,al-Hashr,The Exile,#The Exile
60,al-Mumtahanah,al-mumtaHanah,She Who is Tested,#She Who is Tested
